# Pedejas izmainas/Last updated 13.01.2020.
ID,Total
100mX3135Y2431,5
100mX3135Y2436,5
100mX3137Y2434,5
100mX3137Y2438,5
100mX3138Y2423,5
100mX3138Y2434,5
100mX3138Y2507,5
100mX3138Y2513,5
100mX3138Y2520,5
100mX3139Y2430,5
100mX3139Y2432,5
100mX3139Y2434,5
100mX3139Y2435,5
100mX3139Y2515,5
100mX3139Y2518,5
100mX3139Y2520,5
100mX3139Y2521,5
100mX3139Y2522,5
100mX3139Y2532,5
100mX3140Y2425,5
100mX3140Y2429,5
100mX3140Y2510,5
100mX3140Y2513,5
100mX3140Y2514,13
100mX3140Y2515,5
100mX3140Y2516,5
100mX3140Y2517,5
100mX3140Y2518,5
100mX3140Y2519,5
100mX3140Y2520,5
100mX3140Y2521,5
100mX3140Y2523,5
100mX3140Y2524,5
100mX3140Y2527,5
100mX3140Y2542,5
100mX3140Y2543,5
100mX3141Y2426,5
100mX3141Y2433,5
100mX3141Y2435,5
100mX3141Y2510,5
100mX3141Y2512,5
100mX3141Y2525,5
100mX3141Y2527,5
100mX3141Y2530,5
100mX3142Y2427,5
100mX3142Y2428,5
100mX3142Y2509,5
100mX3142Y2514,5
100mX3142Y2516,5
100mX3143Y2426,5
100mX3143Y2431,5
100mX3143Y2436,5
100mX3143Y2507,5
100mX3143Y2508,5
100mX3143Y2510,5
100mX3143Y2515,5
100mX3143Y2521,5
100mX3143Y2522,5
100mX3143Y2523,5
100mX3143Y2529,5
100mX3143Y2532,5
100mX3143Y2550,5
100mX3144Y2432,5
100mX3144Y2433,5
100mX3144Y2493,5
100mX3144Y2498,5
100mX3144Y2500,5
100mX3144Y2502,5
100mX3144Y2509,5
100mX3144Y2515,5
100mX3144Y2516,5
100mX3144Y2519,5
100mX3144Y2523,5
100mX3144Y2537,5
100mX3144Y2542,5
100mX3144Y2544,5
100mX3145Y2495,5
100mX3145Y2499,5
100mX3145Y2501,5
100mX3145Y2503,5
100mX3145Y2504,5
100mX3145Y2507,5
100mX3145Y2510,5
100mX3145Y2524,5
100mX3145Y2526,5
100mX3145Y2527,5
100mX3145Y2530,5
100mX3145Y2532,5
100mX3145Y2533,5
100mX3145Y2534,5
100mX3145Y2538,5
100mX3145Y2541,5
100mX3145Y2554,5
100mX3146Y2485,5
100mX3146Y2499,5
100mX3146Y2517,5
100mX3146Y2521,5
100mX3146Y2526,5
100mX3146Y2534,5
100mX3146Y2536,5
100mX3146Y2548,5
100mX3146Y2553,5
100mX3147Y2488,5
100mX3147Y2507,5
100mX3147Y2510,5
100mX3147Y2517,11
100mX3147Y2529,5
100mX3147Y2532,5
100mX3147Y2548,5
100mX3147Y2550,5
100mX3147Y2552,5
100mX3147Y2562,5
100mX3148Y2488,5
100mX3148Y2492,5
100mX3148Y2496,5
100mX3148Y2501,5
100mX3148Y2503,5
100mX3148Y2504,5
100mX3148Y2505,5
100mX3148Y2507,5
100mX3148Y2515,5
100mX3148Y2535,5
100mX3148Y2542,5
100mX3148Y2549,5
100mX3148Y2562,5
100mX3148Y2571,5
100mX3148Y2572,5
100mX3148Y2674,51
100mX3149Y2493,5
100mX3149Y2495,5
100mX3149Y2508,5
100mX3149Y2511,5
100mX3149Y2513,5
100mX3149Y2530,5
100mX3149Y2536,5
100mX3149Y2541,5
100mX3149Y2547,5
100mX3149Y2563,5
100mX3149Y2565,5
100mX3149Y2573,5
100mX3150Y2495,5
100mX3150Y2496,5
100mX3150Y2498,5
100mX3150Y2499,5
100mX3150Y2506,5
100mX3150Y2538,5
100mX3150Y2560,5
100mX3150Y2567,5
100mX3150Y2572,5
100mX3150Y2575,5
100mX3150Y2662,5
100mX3151Y2489,5
100mX3151Y2496,5
100mX3151Y2498,5
100mX3151Y2505,5
100mX3151Y2510,5
100mX3151Y2541,5
100mX3151Y2545,5
100mX3151Y2550,5
100mX3151Y2585,5
100mX3151Y2657,5
100mX3151Y2669,41
100mX3151Y2671,5
100mX3151Y2673,203
100mX3151Y2674,5
100mX3152Y2497,5
100mX3152Y2505,5
100mX3152Y2535,5
100mX3152Y2543,5
100mX3152Y2560,5
100mX3152Y2564,5
100mX3152Y2565,5
