# Pedejas izmainas/Last updated 09.01.2020.
ID,Total
1kmX313Y242,5
1kmX313Y243,18
1kmX313Y244,5
1kmX313Y245,18
1kmX313Y246,5
1kmX313Y248,5
1kmX313Y250,5
1kmX313Y251,5
1kmX313Y252,14
1kmX313Y253,5
1kmX314Y228,5
1kmX314Y230,5
1kmX314Y242,13
1kmX314Y243,21
1kmX314Y244,16
1kmX314Y245,5
1kmX314Y246,17
1kmX314Y247,5
1kmX314Y248,5
1kmX314Y249,20
1kmX314Y250,44
1kmX314Y251,96
1kmX314Y252,67
1kmX314Y253,46
1kmX314Y254,22
1kmX314Y255,5
1kmX314Y256,14
1kmX314Y257,5
1kmX314Y267,51
1kmX315Y225,5
1kmX315Y226,5
1kmX315Y227,5
1kmX315Y228,5
1kmX315Y242,5
1kmX315Y247,5
1kmX315Y248,5
1kmX315Y249,49
1kmX315Y250,20
1kmX315Y251,5
1kmX315Y253,14
1kmX315Y254,24
1kmX315Y255,11
1kmX315Y256,25
1kmX315Y257,37
1kmX315Y258,37
1kmX315Y259,32
1kmX315Y260,14
1kmX315Y261,82
1kmX315Y263,5
1kmX315Y264,4642
1kmX315Y265,3872
1kmX315Y266,4754
1kmX315Y267,2587
1kmX315Y268,839
1kmX315Y269,4858
1kmX315Y270,558
1kmX315Y271,60
1kmX315Y272,5
1kmX316Y220,5
1kmX316Y226,5
1kmX316Y240,5
1kmX316Y242,18
1kmX316Y248,5
1kmX316Y249,11
1kmX316Y250,5
1kmX316Y256,5
1kmX316Y259,5
1kmX316Y260,35
1kmX316Y261,35
1kmX316Y262,31
1kmX316Y263,6559
1kmX316Y264,4477
1kmX316Y265,3247
1kmX316Y266,4520
1kmX316Y267,2639
1kmX316Y268,3004
1kmX316Y269,5493
1kmX316Y270,704
1kmX316Y271,4341
1kmX316Y272,1156
1kmX316Y273,5
1kmX317Y218,5
1kmX317Y219,5
1kmX317Y220,5
1kmX317Y235,5
1kmX317Y241,17
1kmX317Y242,5
1kmX317Y247,5
1kmX317Y248,25
1kmX317Y249,36
1kmX317Y250,5
1kmX317Y251,5
1kmX317Y252,5
1kmX317Y261,5
1kmX317Y262,5
1kmX317Y265,33
1kmX317Y266,675
1kmX317Y267,5
1kmX317Y268,468
1kmX317Y269,1577
1kmX317Y270,82
1kmX317Y271,863
1kmX317Y272,11
1kmX318Y231,5
1kmX318Y233,5
1kmX318Y235,16
1kmX318Y236,5
1kmX318Y246,21
1kmX318Y247,28
1kmX318Y248,739
1kmX318Y249,51
1kmX318Y250,33
1kmX318Y251,11
1kmX318Y252,5
1kmX318Y269,125
1kmX318Y270,52
1kmX318Y271,2279
1kmX318Y277,24
1kmX318Y278,65
1kmX318Y279,5
1kmX318Y280,5
1kmX318Y281,5
1kmX318Y282,5
1kmX319Y229,5
1kmX319Y231,5
1kmX319Y233,5
1kmX319Y234,5
1kmX319Y235,5
1kmX319Y236,11
1kmX319Y237,5
1kmX319Y239,5
1kmX319Y245,5
1kmX319Y246,77
1kmX319Y247,11
1kmX319Y248,39
1kmX319Y249,21
1kmX319Y250,21
1kmX319Y251,5
1kmX319Y269,15
1kmX319Y270,2109
1kmX319Y271,32
1kmX319Y275,5
1kmX319Y277,5
1kmX319Y278,12
1kmX319Y279,5
1kmX319Y280,5
1kmX319Y281,5
1kmX319Y282,5
1kmX319Y283,5
1kmX319Y285,5
1kmX320Y227,5
1kmX320Y230,5
1kmX320Y232,5
1kmX320Y233,5
1kmX320Y234,25
1kmX320Y235,5
1kmX320Y236,11
1kmX320Y237,11
1kmX320Y242,15
1kmX320Y243,5
1kmX320Y244,15
1kmX320Y245,24
1kmX320Y246,5
1kmX320Y247,5
1kmX320Y248,13
1kmX320Y249,24
1kmX320Y250,16
1kmX320Y251,215
1kmX320Y252,28
1kmX320Y256,5
1kmX320Y257,13
1kmX320Y259,5
1kmX320Y261,5
1kmX320Y262,5
1kmX320Y263,5
1kmX320Y265,5
1kmX320Y269,57
1kmX320Y270,467
1kmX320Y271,225
1kmX320Y273,5
1kmX320Y274,17
1kmX320Y275,5
1kmX320Y276,5
1kmX320Y277,5
1kmX320Y278,5
1kmX320Y279,16
1kmX320Y280,5
1kmX320Y281,5
1kmX320Y282,5
1kmX320Y283,87
1kmX320Y284,5
1kmX320Y286,12
1kmX320Y287,13
1kmX320Y288,5
1kmX320Y289,5
1kmX320Y290,19
1kmX320Y291,5
1kmX320Y292,23
1kmX320Y293,5
1kmX320Y294,5
1kmX320Y295,5
1kmX320Y296,5
1kmX320Y302,5
1kmX321Y220,5
1kmX321Y221,5
1kmX321Y235,5
1kmX321Y236,5
1kmX321Y237,5
1kmX321Y246,5
1kmX321Y248,45
1kmX321Y249,22
1kmX321Y250,36
1kmX321Y251,5
1kmX321Y252,20
1kmX321Y253,5
1kmX321Y254,5
1kmX321Y255,16
1kmX321Y256,23
1kmX321Y257,55
1kmX321Y258,5
1kmX321Y259,5
1kmX321Y260,5
1kmX321Y261,5
1kmX321Y262,14
1kmX321Y263,5
1kmX321Y264,5
1kmX321Y265,19
1kmX321Y266,5
1kmX321Y268,265
1kmX321Y269,23
1kmX321Y270,5
1kmX321Y271,1158
1kmX321Y272,11
1kmX321Y273,5
1kmX321Y274,12
1kmX321Y275,16
1kmX321Y276,5
1kmX321Y277,5
1kmX321Y278,11
1kmX321Y280,5
1kmX321Y281,5
1kmX321Y282,15
1kmX321Y283,5
1kmX321Y284,5
1kmX321Y285,14
1kmX321Y286,5
1kmX321Y288,5
1kmX321Y289,5
1kmX321Y290,5
1kmX321Y291,11
1kmX321Y292,5
1kmX321Y293,24
1kmX321Y294,27
1kmX321Y295,5
1kmX322Y220,5
1kmX322Y221,5
1kmX322Y227,5
1kmX322Y233,5
1kmX322Y248,5
1kmX322Y249,17
1kmX322Y250,17
1kmX322Y251,19
1kmX322Y252,12
1kmX322Y254,5
1kmX322Y256,5
1kmX322Y257,15
1kmX322Y259,5
1kmX322Y266,5
1kmX322Y267,5
1kmX322Y268,5
1kmX322Y269,28
1kmX322Y270,5
1kmX322Y273,5
1kmX322Y274,5
1kmX322Y275,5
1kmX322Y277,5
1kmX322Y278,5
1kmX322Y279,13
1kmX322Y280,5
1kmX322Y281,5
1kmX322Y284,5
1kmX322Y285,5
1kmX322Y286,5
1kmX322Y290,5
1kmX322Y291,5
1kmX322Y295,5
1kmX323Y219,13
1kmX323Y220,5
1kmX323Y221,5
1kmX323Y222,5
1kmX323Y224,15
1kmX323Y225,5
1kmX323Y226,17
1kmX323Y227,283
1kmX323Y228,53
1kmX323Y229,16
1kmX323Y230,5
1kmX323Y250,17
1kmX323Y266,5
1kmX323Y267,18
1kmX323Y268,32
1kmX323Y269,22
1kmX323Y273,5
1kmX323Y274,5
1kmX323Y275,5
1kmX323Y277,34
1kmX323Y278,5
1kmX323Y279,45
1kmX323Y280,5
1kmX323Y281,12
1kmX323Y282,22
1kmX323Y283,16
1kmX323Y285,5
1kmX323Y290,5
1kmX323Y291,5
1kmX323Y292,5
1kmX324Y221,5
1kmX324Y224,5
1kmX324Y225,11
1kmX324Y226,36
1kmX324Y227,90
1kmX324Y228,27
1kmX324Y229,17
